Date,Year,Month,Day,Precipitation,Temp Max,Temp Min,streamflow (Mean)
1/31/2001,2001,1,31,128.757,24.70612903,10.38580645,21.07
2/28/2001,2001,2,28,82.173,22.65428571,10.07321429,20.76
3/31/2001,2001,3,31,64.114,21.95,9.498387097,20.45
4/30/2001,2001,4,30,75.216,18.46233333,7.417333333,36.41
5/31/2001,2001,5,31,16.696,17.47064516,3.625483871,23.59
6/30/2001,2001,6,30,3.134,15.104,-0.423666667,0.96
7/31/2001,2001,7,31,11.817,13.92709677,-0.455806452,0.71
8/31/2001,2001,8,31,64,17.44387097,2.604516129,3.91
9/30/2001,2001,9,30,95.38,18.36566667,3.784666667,27.77
10/31/2001,2001,10,31,88.414,22.1383871,8.216451613,27.29
11/30/2001,2001,11,30,109.381,21.41733333,9.684,49.58
12/31/2001,2001,12,31,117.751,22.99129032,9.901935484,36.28
1/31/2002,2002,1,31,105.078,23.64419355,11.01387097,37.89
2/28/2002,2002,2,28,34.759,23.71892857,10.38142857,15.99
3/31/2002,2002,3,31,41.78,23.07387097,9.88516129,4.02
4/30/2002,2002,4,30,54.727,21.36133333,6.69,7.34
5/31/2002,2002,5,31,37.846,17.42806452,3.891290323,3.14
6/30/2002,2002,6,30,31.54,13.48533333,-0.28,7.53
7/31/2002,2002,7,31,7.263,13.97516129,-1.322903226,1.4
8/31/2002,2002,8,31,80.446,16.72483871,2.981935484,37.82
9/30/2002,2002,9,30,57.904,18.96066667,5.650666667,31.78
10/31/2002,2002,10,31,41.198,22.91290323,8.107419355,3.05
11/30/2002,2002,11,30,40.207,21.984,7.904,5.86
12/31/2002,2002,12,31,115.446,23.14064516,10.44645161,32.31
1/31/2003,2003,1,31,86.685,24.92451613,11.24709677,16.01
2/28/2003,2003,2,28,73.89,25.28464286,12.185,12.61
3/31/2003,2003,3,31,119.211,23.33129032,9.034193548,14.16
4/30/2003,2003,4,30,59.812,21.88133333,7.501333333,4.04
5/31/2003,2003,5,31,10.615,17.44096774,1.986129032,1.01
6/30/2003,2003,6,30,4.194,14.13166667,-2.671666667,0.54
7/31/2003,2003,7,31,3.602,14.97032258,-1.960967742,0.33
8/31/2003,2003,8,31,31.772,15.00258065,-1.078387097,0.96
9/30/2003,2003,9,30,31.609,19.59133333,5.785,1.4
10/31/2003,2003,10,31,26.096,23.27709677,8.875806452,0.6
11/30/2003,2003,11,30,87.812,23.23533333,9.896333333,15.95
12/31/2003,2003,12,31,71.429,25.34903226,10.64096774,2.98
1/31/2004,2004,1,31,112.309,24.55225806,11.85096774,7.98
2/29/2004,2004,2,29,81.428,23.71551724,10.85931034,26.95
3/31/2004,2004,3,31,118.085,21.18774194,9.634516129,35.04
4/30/2004,2004,4,30,34.211,20.19466667,5.899666667,11.31
5/31/2004,2004,5,31,1.734,18.16322581,3.015806452,0.84
6/30/2004,2004,6,30,16.386,13.86233333,-0.520333333,0.47
7/31/2004,2004,7,31,11.488,12.45612903,-0.932258065,0.7
8/31/2004,2004,8,31,17.681,17.60967742,3.071935484,0.55
9/30/2004,2004,9,30,54.739,17.833,3.360333333,3.39
10/31/2004,2004,10,31,49.075,21.85419355,7.606129032,4.47
11/30/2004,2004,11,30,87.321,24.229,10.04233333,4.98
12/31/2004,2004,12,31,101.555,24.04290323,11.18870968,29.82
1/31/2005,2005,1,31,150.775,24.56387097,11.63,85.64
2/28/2005,2005,2,28,71.921,24.65928571,11.48571429,87.55
3/31/2005,2005,3,31,113.319,20.95258065,8.849032258,107.5
4/30/2005,2005,4,30,74.166,18.61733333,5.893666667,111
5/31/2005,2005,5,31,36.667,17.48548387,1.147096774,77.79
6/30/2005,2005,6,30,3.107,15.892,-0.034333333,78.08
7/31/2005,2005,7,31,4.498,16.22548387,-1.844193548,78.37
8/31/2005,2005,8,31,32.371,18.34290323,2.964516129,78.67
9/30/2005,2005,9,30,16.485,22.01533333,6.453333333,78.96
10/31/2005,2005,10,31,114.637,21.82967742,8.100322581,79.25
11/30/2005,2005,11,30,105.328,22.823,9.173666667,79.55
12/31/2005,2005,12,31,70.401,24.34258065,9.626129032,79.84
1/31/2006,2006,1,31,190.071,23.98129032,12.41419355,107.9
2/28/2006,2006,2,28,156.185,22.31678571,12.13892857,129
3/31/2006,2006,3,31,95.705,20.33774194,8.729032258,95.11
4/30/2006,2006,4,30,72.717,18.58633333,6.601666667,80.89
5/31/2006,2006,5,31,25.97,13.61516129,-1.183548387,84.72
6/30/2006,2006,6,30,2.428,14.50133333,-3.801333333,88.65
7/31/2006,2006,7,31,0.436,15.80483871,-1.187096774,92.66
8/31/2006,2006,8,31,77.026,14.45193548,-0.423870968,96.82
9/30/2006,2006,9,30,19.096,19.561,3.858333333,101
10/31/2006,2006,10,31,92.335,21.75548387,7.720967742,138.2
11/30/2006,2006,11,30,168.209,22.35433333,8.894,125.5
12/31/2006,2006,12,31,105.046,23.91548387,10.91677419,100.8
1/31/2007,2007,1,31,90.161,25.09225806,10.19806452,120.4
2/28/2007,2007,2,28,50.843,25.85071429,10.39285714,118.7
3/31/2007,2007,3,31,26.831,23.01580645,8.762258065,117
4/30/2007,2007,4,30,54.251,19.57766667,6.287,115.2
5/31/2007,2007,5,31,6.406,17.32741935,0.676774194,113.5
6/30/2007,2007,6,30,19.692,13.00966667,-2.313666667,111.7
7/31/2007,2007,7,31,4.681,14.06741935,-3.808064516,110
8/31/2007,2007,8,31,4.299,17.62741935,0.36516129,108.3
9/30/2007,2007,9,30,35.857,22.94966667,7.161666667,106.6
10/31/2007,2007,10,31,155.885,19.59483871,7.020645161,114.1
11/30/2007,2007,11,30,96.002,21.42733333,8.525,141.6
12/31/2007,2007,12,31,112.919,22.67903226,9.484193548,95.26
1/31/2008,2008,1,31,84.49,23.65548387,10.99354839,62.8
2/29/2008,2008,2,29,46.46,23.98655172,10.62241379,46.4
3/31/2008,2008,3,31,88.475,21.53064516,8.271612903,32.46
4/30/2008,2008,4,30,42.749,18.78933333,4.000333333,20.78
5/31/2008,2008,5,31,24.268,17.18774194,3.262258065,11.67
6/30/2008,2008,6,30,48.879,14.13166667,-1.55,5.15
7/31/2008,2008,7,31,3.767,14.97,-1.6,1.65
8/31/2008,2008,8,31,10.525,18.2116129,2.303225806,1.01
9/30/2008,2008,9,30,17.85,19.93066667,4.331666667,0.6
10/31/2008,2008,10,31,21.621,24.25677419,8.005483871,0.49
11/30/2008,2008,11,30,116.656,23.58866667,9.585333333,25.61
12/31/2008,2008,12,31,169.688,24.46322581,10.43709677,25.89
1/31/2009,2009,1,31,127.376,24.36032258,11.34193548,52.21
2/28/2009,2009,2,28,137.619,22.62857143,10.86678571,53.72
3/31/2009,2009,3,31,63.76,22.29064516,8.798064516,33.35
4/30/2009,2009,4,30,25.495,20.48966667,5.883333333,2.95
5/31/2009,2009,5,31,29.622,16.6583871,1.451935484,4.86
6/30/2009,2009,6,30,59.367,13.96033333,0.076333333,12.18
7/31/2009,2009,7,31,4.299,13.10322581,-3.15516129,3.65
8/31/2009,2009,8,31,16.204,16.68516129,-0.310645161,1.72
9/30/2009,2009,9,30,14.397,21.06666667,5.798,0.67
10/31/2009,2009,10,31,105.442,21.34096774,7.602903226,9.18
11/30/2009,2009,11,30,77.658,22.18266667,8.258,28.75
12/31/2009,2009,12,31,35.189,25.25290323,10.61870968,2.5
1/31/2010,2010,1,31,155.986,24.01709677,11.46032258,30.02
2/28/2010,2010,2,28,62.361,24.77642857,11.28821429,82.77
3/31/2010,2010,3,31,75.989,23.97516129,10.00903226,12.67
4/30/2010,2010,4,30,67.538,20.17633333,5.969666667,27.02
5/31/2010,2010,5,31,13.42,18.40419355,3.379354839,8.68
6/30/2010,2010,6,30,19.255,13.95933333,-2.472,0.99
7/31/2010,2010,7,31,4.586,14.74806452,-1.929354839,0.34
8/31/2010,2010,8,31,0.388,18.26483871,0.053548387,0.18
9/30/2010,2010,9,30,6.664,23.309,6.600666667,0.04
10/31/2010,2010,10,31,58.693,22.76032258,7.962258065,5.01
11/30/2010,2010,11,30,155.191,22.94666667,9.361333333,48.01
12/31/2010,2010,12,31,204.006,22.79258065,9.596451613,39.78
1/31/2011,2011,1,31,224.555,22.62258065,11.58419355,83.98
2/28/2011,2011,2,28,107.577,23.22928571,10.79178571,67.09
3/31/2011,2011,3,31,76.637,23.40322581,10.23193548,37.38
4/30/2011,2011,4,30,109.404,18.515,5.976666667,15.62
5/31/2011,2011,5,31,57.702,15.33677419,1.492580645,17.81
6/30/2011,2011,6,30,35.811,13.70233333,-2.423,4.26
7/31/2011,2011,7,31,18.645,13.04677419,-2.489354839,0.69
8/31/2011,2011,8,31,14.542,17.15967742,0.891935484,0
9/30/2011,2011,9,30,15.691,21.24433333,5.360666667,0
10/31/2011,2011,10,31,31.315,22.34290323,6.96483871,0.85
11/30/2011,2011,11,30,36.337,23.67533333,8.056,0.66
12/31/2011,2011,12,31,99.581,23.76935484,10.70967742,19.97
1/31/2012,2012,1,31,72.574,25.43709677,11.17387097,10.35
2/29/2012,2012,2,29,108.838,24.32517241,11.12344828,35.43
3/31/2012,2012,3,31,34.991,22.83709677,8.881935484,1.98
4/30/2012,2012,4,30,26.466,19.15166667,4.622,2.12
5/31/2012,2012,5,31,1.804,18.39548387,2.172580645,0.72
6/30/2012,2012,6,30,53.478,13.98366667,-0.658333333,11.2
7/31/2012,2012,7,31,20.862,14.74,0.245806452,4.12
8/31/2012,2012,8,31,25.582,17.32483871,3.136451613,4.44
9/30/2012,2012,9,30,56.667,19.055,4.998333333,17.6
10/31/2012,2012,10,31,44.553,22.16064516,8.539677419,17.15
11/30/2012,2012,11,30,37.1,23.312,9.291333333,4.09
12/31/2012,2012,12,31,116.63,23.24580645,9.938387097,59.38
1/31/2013,2013,1,31,138.168,24.86451613,11.15935484,30.09
2/28/2013,2013,2,28,62.924,25.17821429,10.29285714,25.79
3/31/2013,2013,3,31,66.914,23.4283871,9.543870968,8.33
4/30/2013,2013,4,30,58.245,19.60533333,5.032666667,16.4
5/31/2013,2013,5,31,17.261,16.97129032,0.333548387,4.31
6/30/2013,2013,6,30,5.853,15.93566667,-2.541333333,0.75
7/31/2013,2013,7,31,4.585,15.51225806,-0.368709677,0.23
8/31/2013,2013,8,31,3.099,16.67096774,0.032580645,0.2
9/30/2013,2013,9,30,12.026,20.836,4.631666667,0.04
10/31/2013,2013,10,31,64.581,22.72806452,6.433548387,3.93
11/30/2013,2013,11,30,67.951,23.762,8.515,13.4
12/31/2013,2013,12,31,124.111,23.06709677,9.588709677,43.82
1/31/2014,2014,1,31,148.97,24.96290323,11.19741935,20.75
2/28/2014,2014,2,28,124.071,23.35964286,11.02285714,38.55
3/31/2014,2014,3,31,96.465,22.44806452,9.392903226,24.28
4/30/2014,2014,4,30,54.388,19.90533333,4.325666667,0.83
5/31/2014,2014,5,31,8.179,19.33064516,1.248709677,0.14
6/30/2014,2014,6,30,12.553,16.245,-1.732666667,0.04
7/31/2014,2014,7,31,12.685,14.63903226,-2.882903226,0.03
8/31/2014,2014,8,31,19.679,16.07032258,1.104516129,0.09
9/30/2014,2014,9,30,12.359,22.24566667,5.939,0.02
10/31/2014,2014,10,31,48.664,22.66806452,6.938387097,0.67
11/30/2014,2014,11,30,189.77,22.03066667,8.897,59.35
12/31/2014,2014,12,31,126.108,24.03096774,10.8883871,34.81
1/31/2015,2015,1,31,143.745,25.28193548,11.32322581,29.02
2/28/2015,2015,2,28,49.233,25.00321429,9.675,4.82
3/31/2015,2015,3,31,171.61,22.32,9.355806452,44.82
4/30/2015,2015,4,30,47.483,19.90466667,5.568,4.67
5/31/2015,2015,5,31,10.221,20.25935484,3.257096774,0.19
6/30/2015,2015,6,30,42.405,14.207,-0.843666667,0.14
7/31/2015,2015,7,31,37.66,14.3816129,1.349354839,1
8/31/2015,2015,8,31,11.9,20.09354839,3.271935484,0.32
9/30/2015,2015,9,30,41.787,21.33166667,6.44,0.42
10/31/2015,2015,10,31,37.256,25.16870968,9.086129032,0.3
11/30/2015,2015,11,30,34.704,24.677,8.75,20.5943
12/31/2015,2015,12,31,31.391,27.10709677,11.68903226,31.9318
1/31/2016,2016,1,31,215.608,25.6,12.17935484,46.9096
2/29/2016,2016,2,29,96.63,25.57068966,11.21241379,32.592
3/31/2016,2016,3,31,100.389,23.18548387,10.0316129,44.6307
4/30/2016,2016,4,30,72.413,21.311,7.972,26.833
5/31/2016,2016,5,31,38.198,17.28322581,2.652580645,10.7059
6/30/2016,2016,6,30,11.105,15.296,-0.842,0.67
7/31/2016,2016,7,31,40.587,13.96387097,-1.15516129,0.4
8/31/2016,2016,8,31,19.661,17.80290323,1.136451613,11.28
9/30/2016,2016,9,30,18.711,20.98533333,6.082666667,2.84
10/31/2016,2016,10,31,47.074,23.37387097,6.803870968,4.7
11/30/2016,2016,11,30,137.515,23.46366667,9.697333333,20.86
12/31/2016,2016,12,31,97.439,25.65258065,11.27387097,17.05
1/31/2017,2017,1,31,133.238,24.03225806,11.28032258,40.62
2/28/2017,2017,2,28,192.679,22.49428571,11.07678571,39.59
3/31/2017,2017,3,31,60.619,23.79032258,9.063225806,7.58
4/30/2017,2017,4,30,55.851,20.964,6.586333333,6.12
5/31/2017,2017,5,31,46.218,17.50580645,2.013548387,1.15
6/30/2017,2017,6,30,8.263,16.26566667,-0.479666667,0.19
7/31/2017,2017,7,31,8.582,16.51451613,-0.019677419,0.09
8/31/2017,2017,8,31,4.902,16.86774194,0.268064516,0.03
9/30/2017,2017,9,30,24.321,23.23533333,6.365666667,0
10/31/2017,2017,10,31,65.378,21.73064516,6.322903226,15.2363
11/30/2017,2017,11,30,37.836,22.931,8.734333333,37.2676
12/31/2017,2017,12,31,122.491,23.99129032,9.72516129,43.1281
