Date,Year,Month,Rainfall (mm)
31/01/2001,2001,1,128.757
28/02/2001,2001,2,82.173
31/03/2001,2001,3,64.114
30/04/2001,2001,4,75.216
31/05/2001,2001,5,16.696
30/06/2001,2001,6,3.134
31/07/2001,2001,7,11.817
31/08/2001,2001,8,64
30/09/2001,2001,9,95.38
31/10/2001,2001,10,88.414
30/11/2001,2001,11,109.381
31/12/2001,2001,12,117.751
31/01/2002,2002,1,105.078
28/02/2002,2002,2,34.759
31/03/2002,2002,3,41.78
30/04/2002,2002,4,54.727
31/05/2002,2002,5,37.846
30/06/2002,2002,6,31.54
31/07/2002,2002,7,7.263
31/08/2002,2002,8,80.446
30/09/2002,2002,9,57.904
31/10/2002,2002,10,41.198
30/11/2002,2002,11,40.207
31/12/2002,2002,12,115.446
31/01/2003,2003,1,86.685
28/02/2003,2003,2,73.89
31/03/2003,2003,3,119.211
30/04/2003,2003,4,59.812
31/05/2003,2003,5,10.615
30/06/2003,2003,6,4.194
31/07/2003,2003,7,3.602
31/08/2003,2003,8,31.772
30/09/2003,2003,9,31.609
31/10/2003,2003,10,26.096
30/11/2003,2003,11,87.812
31/12/2003,2003,12,71.429
31/01/2004,2004,1,112.309
29/02/2004,2004,2,81.428
31/03/2004,2004,3,118.085
30/04/2004,2004,4,34.211
31/05/2004,2004,5,1.734
30/06/2004,2004,6,16.386
31/07/2004,2004,7,11.488
31/08/2004,2004,8,17.681
30/09/2004,2004,9,54.739
31/10/2004,2004,10,49.075
30/11/2004,2004,11,87.321
31/12/2004,2004,12,101.555
31/01/2005,2005,1,150.775
28/02/2005,2005,2,71.921
31/03/2005,2005,3,113.319
30/04/2005,2005,4,74.166
31/05/2005,2005,5,36.667
30/06/2005,2005,6,3.107
31/07/2005,2005,7,4.498
31/08/2005,2005,8,32.371
30/09/2005,2005,9,16.485
31/10/2005,2005,10,114.637
30/11/2005,2005,11,105.328
31/12/2005,2005,12,70.401
31/01/2006,2006,1,190.071
28/02/2006,2006,2,156.185
31/03/2006,2006,3,95.705
30/04/2006,2006,4,72.717
31/05/2006,2006,5,25.97
30/06/2006,2006,6,2.428
31/07/2006,2006,7,0.436
31/08/2006,2006,8,77.026
30/09/2006,2006,9,19.096
31/10/2006,2006,10,92.335
30/11/2006,2006,11,168.209
31/12/2006,2006,12,105.046
31/01/2007,2007,1,90.161
28/02/2007,2007,2,50.843
31/03/2007,2007,3,26.831
30/04/2007,2007,4,54.251
31/05/2007,2007,5,6.406
30/06/2007,2007,6,19.692
31/07/2007,2007,7,4.681
31/08/2007,2007,8,4.299
30/09/2007,2007,9,35.857
31/10/2007,2007,10,155.885
30/11/2007,2007,11,96.002
31/12/2007,2007,12,112.919
31/01/2008,2008,1,84.49
29/02/2008,2008,2,46.46
31/03/2008,2008,3,88.475
30/04/2008,2008,4,42.749
31/05/2008,2008,5,24.268
30/06/2008,2008,6,48.879
31/07/2008,2008,7,3.767
31/08/2008,2008,8,10.525
30/09/2008,2008,9,17.85
31/10/2008,2008,10,21.621
30/11/2008,2008,11,116.656
31/12/2008,2008,12,169.688
31/01/2009,2009,1,127.376
28/02/2009,2009,2,137.619
31/03/2009,2009,3,63.76
30/04/2009,2009,4,25.495
31/05/2009,2009,5,29.622
30/06/2009,2009,6,59.367
31/07/2009,2009,7,4.299
31/08/2009,2009,8,16.204
30/09/2009,2009,9,14.397
31/10/2009,2009,10,105.442
30/11/2009,2009,11,77.658
31/12/2009,2009,12,35.189
31/01/2010,2010,1,155.986
28/02/2010,2010,2,62.361
31/03/2010,2010,3,75.989
30/04/2010,2010,4,67.538
31/05/2010,2010,5,13.42
30/06/2010,2010,6,19.255
31/07/2010,2010,7,4.586
31/08/2010,2010,8,0.388
30/09/2010,2010,9,6.664
31/10/2010,2010,10,58.693
30/11/2010,2010,11,155.191
31/12/2010,2010,12,204.006
31/01/2011,2011,1,224.555
28/02/2011,2011,2,107.577
31/03/2011,2011,3,76.637
30/04/2011,2011,4,109.404
31/05/2011,2011,5,57.702
30/06/2011,2011,6,35.811
31/07/2011,2011,7,18.645
31/08/2011,2011,8,14.542
30/09/2011,2011,9,15.691
31/10/2011,2011,10,31.315
30/11/2011,2011,11,36.337
31/12/2011,2011,12,99.581
31/01/2012,2012,1,72.574
29/02/2012,2012,2,108.838
31/03/2012,2012,3,34.991
30/04/2012,2012,4,26.466
31/05/2012,2012,5,1.804
30/06/2012,2012,6,53.478
31/07/2012,2012,7,20.862
31/08/2012,2012,8,25.582
30/09/2012,2012,9,56.667
31/10/2012,2012,10,44.553
30/11/2012,2012,11,37.1
31/12/2012,2012,12,116.63
31/01/2013,2013,1,138.168
28/02/2013,2013,2,62.924
31/03/2013,2013,3,66.914
30/04/2013,2013,4,58.245
31/05/2013,2013,5,17.261
30/06/2013,2013,6,5.853
31/07/2013,2013,7,4.585
31/08/2013,2013,8,3.099
30/09/2013,2013,9,12.026
31/10/2013,2013,10,64.581
30/11/2013,2013,11,67.951
31/12/2013,2013,12,124.111
31/01/2014,2014,1,148.97
28/02/2014,2014,2,124.071
31/03/2014,2014,3,96.465
30/04/2014,2014,4,54.388
31/05/2014,2014,5,8.179
30/06/2014,2014,6,12.553
31/07/2014,2014,7,12.685
31/08/2014,2014,8,19.679
30/09/2014,2014,9,12.359
31/10/2014,2014,10,48.664
30/11/2014,2014,11,189.77
31/12/2014,2014,12,126.108
31/01/2015,2015,1,143.745
28/02/2015,2015,2,49.233
31/03/2015,2015,3,171.61
30/04/2015,2015,4,47.483
31/05/2015,2015,5,10.221
30/06/2015,2015,6,42.405
31/07/2015,2015,7,37.66
31/08/2015,2015,8,11.9
30/09/2015,2015,9,41.787
31/10/2015,2015,10,37.256
30/11/2015,2015,11,34.704
31/12/2015,2015,12,31.391
31/01/2016,2016,1,215.608
29/02/2016,2016,2,96.63
31/03/2016,2016,3,100.389
30/04/2016,2016,4,72.413
31/05/2016,2016,5,38.198
30/06/2016,2016,6,11.105
31/07/2016,2016,7,40.587
31/08/2016,2016,8,19.661
30/09/2016,2016,9,18.711
31/10/2016,2016,10,47.074
30/11/2016,2016,11,137.515
31/12/2016,2016,12,97.439
31/01/2017,2017,1,133.238
28/02/2017,2017,2,192.679
31/03/2017,2017,3,60.619
30/04/2017,2017,4,55.851
31/05/2017,2017,5,46.218
30/06/2017,2017,6,8.263
31/07/2017,2017,7,8.582
31/08/2017,2017,8,4.902
30/09/2017,2017,9,24.321
31/10/2017,2017,10,65.378
30/11/2017,2017,11,37.836
31/12/2017,2017,12,122.491
